City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Stornoway,GB,2021-05-28 01:49:12,58.2093,-6.3865,45.93,93,100,2.3,overcast clouds
60,Bistret,RO,2021-05-28 01:49:12,43.9,23.5,60.96,97,100,3.87,moderate rain
61,Torbay,CA,2021-05-28 01:45:23,47.6666,-52.7314,54.75,96,90,18.41,overcast clouds
62,Bengkulu,ID,2021-05-28 01:44:46,-3.8004,102.2655,81.93,76,77,1.52,broken clouds
63,Yumen,CN,2021-05-28 01:49:13,40.2833,97.2,80.82,8,7,14.92,clear sky
64,Preobrazheniye,RU,2021-05-28 01:49:13,42.9019,133.9064,53.55,82,100,4.34,overcast clouds
65,Hambantota,LK,2021-05-28 01:49:13,6.1241,81.1185,79.14,100,20,20.98,few clouds
66,Ahlen,DE,2021-05-28 01:49:14,51.7634,7.8887,49.91,92,92,5.28,overcast clouds
67,Nikolskoye,RU,2021-05-28 01:49:14,59.7035,30.7861,49.78,99,33,3.87,scattered clouds
68,Semey,KZ,2021-05-28 01:44:35,50.4111,80.2275,55.62,58,0,11.18,clear sky
69,Novobeysugskaya,RU,2021-05-28 01:49:15,45.472,39.8861,58.01,93,14,6.02,few clouds
70,Meulaboh,ID,2021-05-28 01:49:15,4.1363,96.1285,81.5,75,85,3.6,overcast clouds
71,Perth,AU,2021-05-28 01:48:47,-31.9333,115.8333,73.58,44,0,12.28,clear sky
72,Deputatskiy,RU,2021-05-28 01:49:15,69.3,139.9,59.68,35,0,10.07,clear sky
73,Marawi,PH,2021-05-28 01:49:16,7.9986,124.2928,80.65,60,19,1.72,few clouds
74,Fairbanks,US,2021-05-28 01:49:16,64.8378,-147.7164,56.39,44,90,14.97,overcast clouds
75,Solnechnyy,RU,2021-05-28 01:49:16,50.7214,136.6319,56.88,55,67,3.58,broken clouds
76,Sao Gabriel Da Cachoeira,BR,2021-05-28 01:49:17,-0.1303,-67.0892,72.27,99,29,2.3,scattered clouds
77,Kieta,PG,2021-05-28 01:49:17,-6.2167,155.6333,77.27,95,100,1.99,heavy intensity rain
78,Vikulovo,RU,2021-05-28 01:49:17,56.8167,70.6107,47.19,65,32,8.28,scattered clouds
79,Bako,ET,2021-05-28 01:46:50,5.7833,36.5667,63.3,76,69,4.16,broken clouds
80,Brightwater,NZ,2021-05-28 01:49:18,-41.3833,173.1167,51.85,96,100,0.25,overcast clouds
81,Tasiilaq,GL,2021-05-28 01:49:18,65.6145,-37.6368,41.16,89,17,5.79,few clouds
82,Biak,ID,2021-05-28 01:49:19,-0.9131,122.8766,83.14,68,13,6.46,few clouds
83,Cherskiy,RU,2021-05-28 01:49:19,68.75,161.3,60.22,27,100,20.36,overcast clouds
84,Havoysund,NO,2021-05-28 01:49:19,70.9963,24.6622,36.48,68,100,19.35,overcast clouds
85,Forestville,US,2021-05-28 01:49:20,38.8451,-76.875,74.68,73,20,3.44,few clouds
86,Alcudia,ES,2021-05-28 01:49:20,39.8532,3.1214,66.25,66,99,4.94,overcast clouds
87,Zalantun,CN,2021-05-28 01:49:20,48.0,122.7167,61.12,46,99,2.66,overcast clouds
88,Isangel,VU,2021-05-28 01:49:21,-19.55,169.2667,78.91,65,75,2.51,broken clouds
89,Avarua,CK,2021-05-28 01:49:21,-21.2078,-159.775,84.25,79,40,17.27,light rain
90,Hithadhoo,MV,2021-05-28 01:49:21,-0.6,73.0833,81.72,79,100,19.08,overcast clouds
91,Norman Wells,CA,2021-05-28 01:49:22,65.282,-126.8329,48.24,57,90,4.61,overcast clouds
92,Rawson,AR,2021-05-28 01:49:22,-43.3002,-65.1023,54.97,46,100,14.0,overcast clouds
93,Chernyshevskiy,RU,2021-05-28 01:49:22,63.0128,112.4714,56.48,61,70,6.82,broken clouds
94,Pemba,MZ,2021-05-28 01:49:23,-12.974,40.5178,69.69,85,43,10.42,light rain
95,Sale,MA,2021-05-28 01:49:23,34.0389,-6.8166,67.64,88,0,0.0,clear sky
96,Luderitz,NA,2021-05-28 01:49:23,-26.6481,15.1594,57.7,71,5,9.44,clear sky
97,Chokurdakh,RU,2021-05-28 01:49:24,70.6333,147.9167,44.55,54,100,12.35,overcast clouds
98,Kamenka,RU,2021-05-28 01:49:24,51.3223,42.7678,55.92,78,38,6.29,scattered clouds
99,Ayagoz,KZ,2021-05-28 01:49:24,47.9714,80.4392,59.38,54,99,20.33,overcast clouds
100,Hermanus,ZA,2021-05-28 01:49:25,-34.4187,19.2345,55.9,78,98,13.71,overcast clouds
101,Fare,PF,2021-05-28 01:49:25,-16.7,-151.0167,80.22,73,24,8.48,few clouds
102,Ratnagiri,IN,2021-05-28 01:49:25,16.9833,73.3,84.78,75,98,5.39,overcast clouds
103,Half Moon Bay,US,2021-05-28 01:49:26,37.4636,-122.4286,75.88,80,40,9.69,scattered clouds
104,Formosa Do Rio Preto,BR,2021-05-28 01:49:26,-11.0483,-45.1931,68.61,51,47,2.33,scattered clouds
105,Kailahun,SL,2021-05-28 01:49:26,8.2833,-10.5667,72.52,99,63,2.68,broken clouds
106,Hobart,AU,2021-05-28 01:49:27,-42.8794,147.3294,50.11,58,75,1.01,broken clouds
107,Sinnamary,GF,2021-05-28 01:49:27,5.3833,-52.95,75.81,93,100,9.44,overcast clouds
108,Zavetnoye,RU,2021-05-28 01:49:28,47.1194,43.8903,63.23,64,99,7.94,overcast clouds
109,Upernavik,GL,2021-05-28 01:49:28,72.7868,-56.1549,37.38,79,100,6.98,overcast clouds
110,Pahrump,US,2021-05-28 01:49:28,36.2083,-115.9839,92.05,7,3,4.0,clear sky
111,Palmer,US,2021-05-28 01:49:29,42.1584,-72.3287,65.75,63,75,5.7,broken clouds
112,Kodiak,US,2021-05-28 01:49:29,57.79,-152.4072,58.51,58,1,10.36,clear sky
113,Sistranda,NO,2021-05-28 01:49:29,63.7256,8.834,43.9,75,12,12.5,few clouds
114,Aksarayskiy,RU,2021-05-28 01:49:30,46.7924,48.0119,64.35,74,100,5.44,overcast clouds
115,Margate,GB,2021-05-28 01:45:04,51.3813,1.3862,51.31,80,100,1.99,overcast clouds
116,Fort Nelson,CA,2021-05-28 01:49:30,58.8053,-122.7002,63.99,25,75,8.05,broken clouds
117,Naze,JP,2021-05-28 01:49:31,28.3667,129.4833,72.52,95,100,1.43,light rain
118,Ponta Do Sol,PT,2021-05-28 01:49:31,32.6667,-17.1,63.72,76,28,3.87,scattered clouds
119,Broome,US,2021-05-28 01:49:31,42.2506,-75.833,55.0,73,1,4.83,clear sky
120,Thompson,CA,2021-05-28 01:49:32,55.7435,-97.8558,53.76,30,40,11.5,scattered clouds
121,Tutoia,BR,2021-05-28 01:49:32,-2.7619,-42.2744,79.84,80,19,3.8,few clouds
122,Sao Joao Da Barra,BR,2021-05-28 01:49:32,-21.6403,-41.0511,71.38,89,0,1.48,clear sky
123,Hengshan,CN,2021-05-28 01:49:33,45.2,130.9167,65.57,43,96,6.51,overcast clouds
124,Toumodi,CI,2021-05-28 01:49:33,6.5613,-5.0158,77.5,98,58,3.09,broken clouds
125,Shizuishan,CN,2021-05-28 01:49:33,39.2333,106.7694,70.79,16,7,12.1,clear sky
126,Tevaitoa,PF,2021-05-28 01:49:34,-16.7833,-151.5,80.49,70,20,7.16,few clouds
127,Otane,NZ,2021-05-28 01:49:34,-39.8833,176.6333,58.39,42,88,3.6,overcast clouds
128,Hamilton,US,2021-05-28 01:47:32,39.1834,-84.5333,73.15,78,1,3.06,clear sky
129,Smithers,CA,2021-05-28 01:45:06,54.7804,-127.1743,50.32,81,90,10.36,light rain
130,Bandarbeyla,SO,2021-05-28 01:45:37,9.4942,50.8122,78.19,79,54,17.74,broken clouds
131,Nanortalik,GL,2021-05-28 01:45:07,60.1432,-45.2371,41.27,76,70,1.68,broken clouds
132,Clarence Town,AU,2021-05-28 01:49:35,-32.5833,151.7833,64.15,49,9,8.57,clear sky
133,Caraguatatuba,BR,2021-05-28 01:49:35,-23.6338,-45.4899,67.82,83,5,4.34,clear sky
134,Talcahuano,CL,2021-05-28 01:49:36,-36.7167,-73.1167,55.08,82,20,4.61,few clouds
135,Qaanaaq,GL,2021-05-28 01:49:36,77.484,-69.3632,37.98,71,78,8.66,broken clouds
136,Kalmunai,LK,2021-05-28 01:49:36,7.4167,81.8167,82.06,66,22,1.72,few clouds
137,Abha,SA,2021-05-28 01:49:37,18.2164,42.5053,66.02,20,0,4.92,clear sky
138,Saint-Augustin,CA,2021-05-28 01:49:37,51.226,-58.6502,45.88,81,100,6.02,overcast clouds
139,Labuhan,ID,2021-05-28 01:49:37,-6.8844,112.2051,85.01,71,48,8.08,light rain
140,Kaitangata,NZ,2021-05-28 01:49:38,-46.2817,169.8464,45.73,93,100,2.77,light rain
141,Flin Flon,CA,2021-05-28 01:49:38,54.7682,-101.865,55.71,42,50,12.57,scattered clouds
142,Okha,RU,2021-05-28 01:49:38,53.5739,142.9478,44.8,70,40,9.89,scattered clouds
143,Cidreira,BR,2021-05-28 01:49:39,-30.1811,-50.2056,60.93,76,0,9.6,clear sky
144,Port Alfred,ZA,2021-05-28 01:47:13,-33.5906,26.891,59.18,77,12,8.75,few clouds
145,Gat,IL,2021-05-28 01:45:54,31.61,34.7642,75.4,78,0,6.38,clear sky
146,New Norfolk,AU,2021-05-28 01:49:39,-42.7826,147.0587,49.75,40,67,7.11,broken clouds
147,Aklavik,CA,2021-05-28 01:49:40,68.2191,-135.0107,32.83,63,100,16.67,overcast clouds
148,Wagar,SD,2021-05-28 01:49:40,16.1525,36.2032,89.74,36,26,8.46,scattered clouds
149,Maniitsoq,GL,2021-05-28 01:49:40,65.4167,-52.9,33.06,90,58,0.54,broken clouds
150,Xinyu,CN,2021-05-28 01:49:11,27.8043,114.9334,70.32,91,100,5.01,overcast clouds
