City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Touros,BR,2021-05-28 01:30:29,-5.1989,-35.4608,76.1,86,18,12.71
68,Saint-Philippe,RE,2021-05-28 01:29:58,-21.3585,55.7679,71.19,77,37,4.07
69,Tombouctou,ML,2021-05-28 01:32:42,20.0,-3.0,90.66,15,100,11.05
70,Ipixuna,BR,2021-05-28 01:36:51,-1.7625,-48.8043,80.55,88,99,4.68
71,Iralaya,HN,2021-05-28 01:36:52,15.0,-83.2333,80.37,80,17,11.21
72,Punta Arenas,CL,2021-05-28 01:32:59,-53.15,-70.9167,32.02,86,0,14.67
73,Homer,US,2021-05-28 01:31:49,59.6425,-151.5483,62.08,60,1,11.5
74,Puerto Ayora,EC,2021-05-28 01:27:47,-0.7393,-90.3518,75.54,93,98,7.0
75,Esperance,AU,2021-05-28 01:32:51,-33.8667,121.9,58.84,43,0,16.53
76,Lerwick,GB,2021-05-28 01:36:53,60.1545,-1.1494,46.4,90,11,6.82
77,Yuanping,CN,2021-05-28 01:36:53,38.7153,112.7575,68.79,15,0,12.15
78,Taylor,US,2021-05-28 01:34:43,32.3001,-99.8337,82.76,69,1,5.99
79,Raudeberg,NO,2021-05-28 01:36:54,61.9875,5.1352,48.87,88,7,11.99
80,Pevek,RU,2021-05-28 01:31:37,69.7008,170.3133,37.2,75,62,3.27
81,Sinnamary,GF,2021-05-28 01:36:54,5.3833,-52.95,75.81,93,100,9.44
82,Antofagasta,CL,2021-05-28 01:36:55,-23.65,-70.4,58.28,80,74,3.47
83,Miles City,US,2021-05-28 01:36:55,46.4083,-105.8406,56.37,54,1,14.97
84,Bose,IT,2021-05-28 01:36:55,45.4612,8.0137,58.48,61,7,3.22
85,Severo-Kurilsk,RU,2021-05-28 01:31:21,50.6789,156.125,40.62,80,83,10.49
86,Hayrabolu,TR,2021-05-28 01:36:56,41.2131,27.1069,58.46,90,43,3.87
87,Comodoro Rivadavia,AR,2021-05-28 01:32:26,-45.8667,-67.5,49.86,62,75,10.36
88,Monkey Bay,MW,2021-05-28 01:36:57,-14.0728,34.9201,65.68,59,0,10.51
89,Nkhotakota,MW,2021-05-28 01:36:17,-12.9274,34.2961,61.56,69,0,6.02
90,Kaitangata,NZ,2021-05-28 01:30:50,-46.2817,169.8464,45.73,93,100,2.77
91,Taltal,CL,2021-05-28 01:36:58,-25.4,-70.4833,61.34,84,24,2.1
92,Mehamn,NO,2021-05-28 01:33:15,71.0357,27.8492,35.47,81,100,20.8
93,Poplar Bluff,US,2021-05-28 01:33:27,36.757,-90.3929,69.58,90,75,6.91
94,Segezha,RU,2021-05-28 01:36:59,63.7415,34.3222,42.57,95,88,6.13
95,Bima,ID,2021-05-28 01:31:45,-8.4667,118.7167,85.64,66,81,5.57
96,Kota Belud,MY,2021-05-28 01:37:00,6.351,116.4305,85.86,79,90,1.21
97,Clyde River,CA,2021-05-28 01:31:44,70.4692,-68.5914,28.63,86,90,5.75
98,Tuktoyaktuk,CA,2021-05-28 01:30:35,69.4541,-133.0374,28.4,80,90,11.5
99,Norman Wells,CA,2021-05-28 01:29:54,65.282,-126.8329,48.24,57,90,4.61
100,Souillac,MU,2021-05-28 01:31:05,-20.5167,57.5167,74.35,88,75,6.42
101,Nanortalik,GL,2021-05-28 01:31:00,60.1432,-45.2371,41.27,76,70,1.68
102,Weatherford,US,2021-05-28 01:34:50,32.7593,-97.7972,85.05,89,54,11.52
103,Khatanga,RU,2021-05-28 01:30:20,71.9667,102.5,31.69,88,92,11.68
104,Zheleznodorozhnyy,RU,2021-05-28 01:37:01,55.7503,38.0042,59.52,96,71,3.13
105,Taos,US,2021-05-28 01:37:01,36.4072,-105.5731,72.0,14,40,5.84
106,Shizukuishi,JP,2021-05-28 01:37:02,39.6833,140.9833,63.37,67,37,9.55
107,Zhengjiatun,CN,2021-05-28 01:37:02,43.5064,123.5064,62.44,47,100,11.54
108,Atuona,PF,2021-05-28 01:30:13,-9.8,-139.0333,78.8,74,56,13.91
109,Sakaiminato,JP,2021-05-28 01:37:02,35.55,133.2333,75.13,56,20,4.61
110,Haimen,CN,2021-05-28 01:37:03,23.1935,116.6142,91.29,64,100,10.27
111,Evensk,RU,2021-05-28 01:29:29,61.95,159.2333,39.99,83,86,7.2
112,Lebu,CL,2021-05-28 01:27:27,-37.6167,-73.65,53.82,84,47,11.14
113,Port Lincoln,AU,2021-05-28 01:31:34,-34.7333,135.8667,61.59,58,100,9.64
114,Faanui,PF,2021-05-28 01:30:20,-16.4833,-151.75,81.19,66,15,9.64
115,Cayenne,GF,2021-05-28 01:30:06,4.9333,-52.3333,76.08,90,20,5.77
116,Victoria,HK,2021-05-28 01:26:38,22.2855,114.1577,91.26,78,100,1.99
117,Progreso,MX,2021-05-28 01:32:50,21.2833,-89.6667,84.31,82,100,15.9
118,Sao Filipe,CV,2021-05-28 01:33:47,14.8961,-24.4956,72.99,77,2,7.83
119,Barra Do Garcas,BR,2021-05-28 01:37:04,-15.89,-52.2567,74.97,54,35,3.24
120,Ilulissat,GL,2021-05-28 01:32:25,69.2167,-51.1,53.62,32,100,11.5
121,Hede,CN,2021-05-28 01:37:05,33.7681,120.2517,83.12,21,1,17.2
122,Tutayev,RU,2021-05-28 01:37:05,57.8853,39.5406,51.28,97,100,3.53
123,Mar Del Plata,AR,2021-05-28 01:30:14,-38.0023,-57.5575,64.0,49,0,8.01
124,Saint Anthony,US,2021-05-28 01:32:02,45.0205,-93.218,44.94,88,90,1.99
125,Castro,BR,2021-05-28 01:30:58,-24.7911,-50.0119,58.51,87,39,2.59
126,Upernavik,GL,2021-05-28 01:27:56,72.7868,-56.1549,36.37,86,100,7.52
127,Brae,GB,2021-05-28 01:32:38,60.3964,-1.353,46.31,88,12,5.53
128,Constitucion,CL,2021-05-28 01:28:15,-35.3333,-72.4167,56.79,94,100,6.26
129,Airai,TL,2021-05-28 01:28:20,-8.9266,125.4092,65.66,71,59,5.01
130,Minden,DE,2021-05-28 01:37:07,52.2833,8.9167,50.22,87,66,5.12
131,Manhattan,US,2021-05-28 01:34:08,40.7834,-73.9662,73.53,42,1,5.75
132,Thompson,CA,2021-05-28 01:29:57,55.7435,-97.8558,53.76,30,40,11.5
133,Sobolevo,RU,2021-05-28 01:37:07,54.4299,31.8996,52.57,89,100,3.27
134,Port-Gentil,GA,2021-05-28 01:30:52,-0.7193,8.7815,77.86,83,100,8.97
135,Hofn,IS,2021-05-28 01:31:32,64.2539,-15.2082,43.54,84,100,10.29
136,Saint George,US,2021-05-28 01:32:50,37.1041,-113.5841,93.67,9,1,7.0
137,Kaeo,NZ,2021-05-28 01:37:08,-35.1,173.7833,67.32,74,1,11.68
138,Kruisfontein,ZA,2021-05-28 01:30:00,-34.0033,24.7314,55.2,69,8,7.47
139,Zafarabad,IN,2021-05-28 01:37:08,25.7,82.7333,75.22,94,100,17.78
140,Belyy Yar,RU,2021-05-28 01:37:09,53.6039,91.3903,62.49,77,40,13.09
141,San Luis,AR,2021-05-28 01:34:46,-33.295,-66.3356,59.11,50,100,12.53
142,Chokurdakh,RU,2021-05-28 01:30:16,70.6333,147.9167,44.55,54,100,12.35
143,Jalu,LY,2021-05-28 01:31:57,29.0331,21.5482,77.34,26,0,8.34
144,Bengkulu,ID,2021-05-28 01:30:11,-3.8004,102.2655,81.93,76,77,1.52
145,Caravelas,BR,2021-05-28 01:31:11,-17.7125,-39.2481,73.29,84,32,5.39
146,Taloqan,AF,2021-05-28 01:37:10,36.7361,69.5345,78.8,28,49,4.25
147,Maniitsoq,GL,2021-05-28 01:37:10,65.4167,-52.9,33.06,90,58,0.54
148,Qasigiannguit,GL,2021-05-28 01:37:11,68.8193,-51.1922,53.85,54,100,6.55
149,Nikolskoye,RU,2021-05-28 01:30:12,59.7035,30.7861,49.39,99,33,3.87
150,Homa Bay,KE,2021-05-28 01:37:12,-0.5273,34.4571,63.93,82,100,3.51
151,Victor Harbor,AU,2021-05-28 01:37:12,-35.5667,138.6167,61.72,77,100,1.01
152,Provideniya,RU,2021-05-28 01:30:10,64.3833,-173.3,44.71,61,0,17.9
153,Muros,ES,2021-05-28 01:31:17,42.7762,-9.0603,61.23,71,71,4.14
154,Olafsvik,IS,2021-05-28 01:30:38,64.8945,-23.7142,46.11,74,88,15.37
155,Anori,BR,2021-05-28 01:37:13,-3.7728,-61.6442,78.75,78,100,2.82
156,Komsomolskiy,UZ,2021-05-28 01:29:09,40.4272,71.7189,72.32,37,0,2.3
157,Juli,PE,2021-05-28 01:37:13,-16.2167,-69.45,40.33,75,79,4.74
158,Ketchikan,US,2021-05-28 01:32:45,55.3422,-131.6461,57.18,51,2,6.89
159,Sabha,LY,2021-05-28 01:30:04,27.0377,14.4283,84.58,14,29,15.7
160,Panalingaan,PH,2021-05-28 01:37:14,8.7842,117.4231,87.46,65,57,2.62
161,Cairns,AU,2021-05-28 01:37:14,-16.9167,145.7667,81.1,66,75,12.66
162,Laguna,US,2021-05-28 01:32:07,38.421,-121.4238,90.75,39,1,7.0
163,Alofi,NU,2021-05-28 01:34:02,-19.0595,-169.9187,82.29,74,40,8.05
164,Giyon,ET,2021-05-28 01:37:15,8.5333,37.9833,57.47,84,11,1.63
165,Longyearbyen,SJ,2021-05-28 01:31:16,78.2186,15.6401,30.04,59,20,11.5
166,Alyangula,AU,2021-05-28 01:37:15,-13.8483,136.4192,80.47,61,63,17.38
167,Hurricane,US,2021-05-28 01:37:15,37.1753,-113.2899,91.74,12,0,7.23
168,Port Alfred,ZA,2021-05-28 01:27:31,-33.5906,26.891,59.76,78,17,9.78
169,Ostrovnoy,RU,2021-05-28 01:37:16,68.0531,39.5131,41.34,78,98,18.52
170,Okato,NZ,2021-05-28 01:37:16,-39.2,173.8833,55.42,87,97,16.31
171,Guerrero Negro,MX,2021-05-28 01:28:52,27.9769,-114.0611,63.45,67,0,22.7
172,Vila Velha,BR,2021-05-28 01:28:45,-20.3297,-40.2925,72.95,95,40,1.01
173,Carnarvon,AU,2021-05-28 01:31:08,-24.8667,113.6333,73.47,64,0,10.36
174,Bontang,ID,2021-05-28 01:32:13,0.1333,117.5,83.82,75,30,2.19
175,Noumea,NC,2021-05-28 01:36:36,-22.2763,166.4572,76.98,99,100,5.08
176,Fortuna,US,2021-05-28 01:31:58,40.5982,-124.1573,62.65,67,90,5.01
177,Ulundi,ZA,2021-05-28 01:37:18,-28.3352,31.4162,58.68,37,54,6.6
178,Luderitz,NA,2021-05-28 01:28:43,-26.6481,15.1594,57.79,71,6,7.61
179,Margate,GB,2021-05-28 01:30:12,51.3813,1.3862,51.31,80,100,1.99
180,Nhulunbuy,AU,2021-05-28 01:30:17,-12.2333,136.7667,81.21,65,75,17.27
