City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Abonnema,NG,77.14,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
288,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
291,Sabalgarh,IN,88.3,clear sky,26.25,77.4,Kailadevi studio
293,Surt,LY,75.61,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
297,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
298,Kokopo,PG,76.71,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
299,Bang Racham,TH,87.06,overcast clouds,14.892000000000001,100.3173,อมรรัตน์ สุวิชัย
300,Boromo,BF,87.49,overcast clouds,11.75,-2.9333,Sama Camp
301,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
302,Lazaro Cardenas,MX,81.0,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
308,Mountain Home,US,80.08,few clouds,43.133,-115.6912,Mountain Home Inn
311,Harper,LR,78.8,light rain,4.375,-7.7169,Screensaver
317,Labuan,MY,86.16,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
320,Cockburn Town,TC,78.98,clear sky,21.4612,-71.1419,Osprey Beach Hotel
323,Lakeland Highlands,US,81.88,clear sky,27.9597,-81.9501,Imperial Swan Hotel Of Lakeland
324,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
327,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
328,Pascagoula,US,80.65,clear sky,30.3658,-88.5561,Regency Inn
336,Kuching,MY,82.62,few clouds,1.55,110.3333,The Ranee Boutique Suites
337,Maba,CN,82.17,overcast clouds,24.6841,113.5984,Huayi Traders Hotel
348,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
364,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
370,Akdepe,TM,75.29,clear sky,42.0551,59.3788,Мой дом
